x [mm];y [mm]
95;35
64.608;18.911
63.827;19.695
62.783;20.663
62.194;21.18
61.554;21.708
60.796;22.306
60.253;22.716
59.759;23.07
59.34;23.364
58.781;23.739
58.465;23.946
58.109;24.169
57.773;24.379
57.397;24.604
56.9;24.894
56.6;25.066
56.259;25.252
55.919;25.437
55.589;25.611
55.198;25.81
54.796;26.014
54.554;26.13
54.223;26.286
53.852;26.461
53.52;26.61
53.186;26.756
52.847;26.905
52.569;27.021
52.26;27.146
51.897;27.295
51.498;27.45
51.139;27.585
50.72;27.743
50.341;27.875
50.045;27.979
49.686;28.104
49.373;28.205
48.949;28.342
48.606;28.451
48.133;28.592
47.719;28.716
47.29;28.836
46.677;29.004
46.432;29.068
46.027;29.17
45.566;29.286
45.011;29.415
44.547;29.522
43.974;29.645
43.66;29.711
43.056;29.833
42.318;29.973
41.794;30.065
41.151;30.176
40.461;30.284
39.888;30.37
39.041;30.489
38.117;30.605
37.227;30.707
36.292;30.804
35.238;30.902
33.955;31.003
32.66;31.089
30.83;31.184
29.268;31.243
27.12;31.295
24.886;31.319
22.446;31.318
20.368;31.3
18.827;31.28
17.936;31.266
16.837;31.248
16.183;31.237
15.783;31.231
15.369;31.224
15.037;31.219
14.676;31.213
14.39;31.208
14.148;31.205
13.94;31.202
13.821;31.2
13.585;31.196
13.356;31.193
13.178;31.19
13.007;31.188
12.853;31.186
